name,value
two - CARDINAL,Metcalf - PERSON
two - CARDINAL,Bath - GPE
two - CARDINAL,New York - GPE
two - CARDINAL,one - CARDINAL
morning - TIME,days - DATE
morning - TIME,days - DATE
morning - TIME,hours - TIME
days - DATE,morning - TIME
days - DATE,morning - TIME
days - DATE,hours - TIME
hours - TIME,morning - TIME
hours - TIME,days - DATE
French - NORP,England - GPE
French - NORP,England - GPE
French - NORP,England - GPE
French - NORP,English - NORP
English - NORP,England - GPE
English - NORP,England - GPE
English - NORP,French - NORP
Channel - ORG,"August, 1914 - DATE"
Channel - ORG,two days - DATE
Channel - ORG,"August, 1914 - DATE"
Channel - ORG,two days - DATE
Kaiser - ORG,
the past dismal hours - DATE,three - CARDINAL
the past dismal hours - DATE,three - CARDINAL
the past dismal hours - DATE,three - CARDINAL
the past dismal hours - DATE,the previous afternoon - TIME
the previous afternoon - TIME,three - CARDINAL
the previous afternoon - TIME,the past dismal hours - DATE
the previous afternoon - TIME,three - CARDINAL
"August, 1914 - DATE",Channel - ORG
"August, 1914 - DATE",Channel - ORG
about two hundred yards - QUANTITY,
yesterday - DATE,
Americans - NORP,many years - DATE
Americans - NORP,Metcalf - PERSON
Americans - NORP,46 million - CARDINAL
Americans - NORP,Metcalf - PERSON
Americans - NORP,46 million - CARDINAL
Americans - NORP,today - DATE
many years - DATE,Americans - NORP
English - LANGUAGE,Bradley - PERSON
English - LANGUAGE,V. C.'s - PERSON
English - LANGUAGE,Germans - NORP
English - LANGUAGE,five hundreds tons - QUANTITY
English - LANGUAGE,Bradley - PERSON
English - LANGUAGE,Bradley - PERSON
English - LANGUAGE,V. C.'s - PERSON
English - LANGUAGE,Germans - NORP
five hundreds tons - QUANTITY,Bradley - PERSON
five hundreds tons - QUANTITY,V. C.'s - PERSON
five hundreds tons - QUANTITY,Germans - NORP
five hundreds tons - QUANTITY,English - LANGUAGE
fifty feet - QUANTITY,
Two - CARDINAL,
the next few seconds - TIME,
Fate - PERSON,first - ORDINAL
Fate - PERSON,first - ORDINAL
Kick - PERSON,
one to three - CARDINAL,
Nob - PERSON,
ten - CARDINAL,
eight - CARDINAL,Friedrich von Schoenvorts - PERSON
eight - CARDINAL,Germans - NORP
eight - CARDINAL,Olson - PERSON
eight - CARDINAL,only nine - CARDINAL
eight - CARDINAL,Germans - NORP
eight - CARDINAL,Bradley - PERSON
nineteen - CARDINAL,one - CARDINAL
nineteen - CARDINAL,Germans - NORP
nineteen - CARDINAL,one - CARDINAL
nineteen - CARDINAL,one - CARDINAL
nineteen - CARDINAL,sixteen - CARDINAL
nineteen - CARDINAL,one - CARDINAL
nineteen - CARDINAL,sixteen - CARDINAL
nineteen - CARDINAL,Germans - NORP
nineteen - CARDINAL,one - CARDINAL
nineteen - CARDINAL,sixteen - CARDINAL
nineteen - CARDINAL,Germans - NORP
nineteen - CARDINAL,nine - CARDINAL
sixteen - CARDINAL,one - CARDINAL
sixteen - CARDINAL,Germans - NORP
sixteen - CARDINAL,nineteen - CARDINAL
sixteen - CARDINAL,one - CARDINAL
sixteen - CARDINAL,nineteen - CARDINAL
sixteen - CARDINAL,one - CARDINAL
sixteen - CARDINAL,Germans - NORP
sixteen - CARDINAL,nineteen - CARDINAL
sixteen - CARDINAL,one - CARDINAL
sixteen - CARDINAL,Germans - NORP
sixteen - CARDINAL,nine - CARDINAL
nine - CARDINAL,one - CARDINAL
nine - CARDINAL,Germans - NORP
nine - CARDINAL,nineteen - CARDINAL
nine - CARDINAL,one - CARDINAL
nine - CARDINAL,sixteen - CARDINAL
nine - CARDINAL,Germans - NORP
a bad day's - DATE,Olson - PERSON
a bad day's - DATE,Irish - NORP
a bad day's - DATE,Scotch - GPE
a bad day's - DATE,English - LANGUAGE
a bad day's - DATE,V. C.'s - PERSON
a bad day's - DATE,Olson - PERSON
a bad day's - DATE,Jack - PERSON
a bad day's - DATE,one - CARDINAL
a bad day's - DATE,German - NORP
a bad day's - DATE,second - ORDINAL
a bad day's - DATE,Olson - PERSON
a bad day's - DATE,two - CARDINAL
a bad day's - DATE,Olson - PERSON
a bad day's - DATE,Wilson - ORG
a bad day's - DATE,the previous night - TIME
a bad day's - DATE,Von Schoenvorts - PERSON
a bad day's - DATE,twenty-four hours - TIME
a bad day's - DATE,Olson - PERSON
a bad day's - DATE,Benson - PERSON
a bad day's - DATE,the days - DATE
a bad day's - DATE,Benson - PERSON
a bad day's - DATE,Olson - PERSON
a bad day's - DATE,the days - DATE
a bad day's - DATE,Germans - NORP
a bad day's - DATE,Olson - PERSON
a bad day's - DATE,only nine - CARDINAL
a bad day's - DATE,eight - CARDINAL
a bad day's - DATE,Germans - NORP
a bad day's - DATE,Bradley - PERSON
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,Irish - NORP
Bradley - PERSON,Scotch - GPE
Bradley - PERSON,English - LANGUAGE
Bradley - PERSON,V. C.'s - PERSON
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,Jack - PERSON
Bradley - PERSON,one - CARDINAL
Bradley - PERSON,German - NORP
Bradley - PERSON,second - ORDINAL
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,two - CARDINAL
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,Wilson - ORG
Bradley - PERSON,the previous night - TIME
Bradley - PERSON,Von Schoenvorts - PERSON
Bradley - PERSON,twenty-four hours - TIME
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,Benson - PERSON
Bradley - PERSON,the days - DATE
Bradley - PERSON,Benson - PERSON
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,the days - DATE
Bradley - PERSON,Germans - NORP
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,only nine - CARDINAL
Bradley - PERSON,eight - CARDINAL
Bradley - PERSON,Germans - NORP
Bradley - PERSON,a bad day's - DATE
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,Irish - NORP
Bradley - PERSON,Scotch - GPE
Bradley - PERSON,English - LANGUAGE
Bradley - PERSON,English - LANGUAGE
Bradley - PERSON,V. C.'s - PERSON
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,Jack - PERSON
Bradley - PERSON,Jack - PERSON
Bradley - PERSON,one - CARDINAL
Bradley - PERSON,Jack - PERSON
Bradley - PERSON,one - CARDINAL
Bradley - PERSON,German - NORP
Bradley - PERSON,second - ORDINAL
Olson - PERSON,Bradley - PERSON
Olson - PERSON,Bradley - PERSON
Olson - PERSON,one - CARDINAL
Olson - PERSON,British - NORP
Olson - PERSON,Bradley - PERSON
Olson - PERSON,two - CARDINAL
Olson - PERSON,Bradley - PERSON
Olson - PERSON,Wilson - ORG
Olson - PERSON,the previous night - TIME
Olson - PERSON,twenty-four hours - TIME
Olson - PERSON,Bradley - PERSON
Olson - PERSON,Bradley - PERSON
Olson - PERSON,Benson - PERSON
Olson - PERSON,Bradley - PERSON
Olson - PERSON,the days - DATE
Olson - PERSON,Benson - PERSON
Olson - PERSON,Englishmen - PRODUCT
Olson - PERSON,Balmen - GPE
Olson - PERSON,Bradley - ORG
Olson - PERSON,the U-33 - PRODUCT
Olson - PERSON,only nine - CARDINAL
Olson - PERSON,eight - CARDINAL
Olson - PERSON,Germans - NORP
Olson - PERSON,Bradley - PERSON
Olson - PERSON,Irish - NORP
Olson - PERSON,Irish - NORP
Olson - PERSON,Scotch - GPE
Olson - PERSON,Irish - NORP
Olson - PERSON,Scotch - GPE
Olson - PERSON,Bradley - PERSON
Olson - PERSON,Bradley - PERSON
Olson - PERSON,one - CARDINAL
Olson - PERSON,one - CARDINAL
Olson - PERSON,British - NORP
Irish - NORP,Bradley - PERSON
Irish - NORP,Bradley - PERSON
Irish - NORP,one - CARDINAL
Irish - NORP,British - NORP
Irish - NORP,Bradley - PERSON
Irish - NORP,two - CARDINAL
Irish - NORP,Bradley - PERSON
Irish - NORP,Wilson - ORG
Irish - NORP,the previous night - TIME
Irish - NORP,twenty-four hours - TIME
Irish - NORP,Bradley - PERSON
Irish - NORP,Bradley - PERSON
Irish - NORP,Benson - PERSON
Irish - NORP,Bradley - PERSON
Irish - NORP,the days - DATE
Irish - NORP,Benson - PERSON
Irish - NORP,Englishmen - PRODUCT
Irish - NORP,Balmen - GPE
Irish - NORP,Bradley - ORG
Irish - NORP,the U-33 - PRODUCT
Irish - NORP,only nine - CARDINAL
Irish - NORP,eight - CARDINAL
Irish - NORP,Germans - NORP
Irish - NORP,Bradley - PERSON
Irish - NORP,Olson - PERSON
Irish - NORP,Olson - PERSON
Irish - NORP,Scotch - GPE
Irish - NORP,Olson - PERSON
Irish - NORP,Scotch - GPE
Irish - NORP,Bradley - PERSON
Scotch - GPE,Bradley - PERSON
Scotch - GPE,Bradley - PERSON
Scotch - GPE,one - CARDINAL
Scotch - GPE,British - NORP
Scotch - GPE,Bradley - PERSON
Scotch - GPE,two - CARDINAL
Scotch - GPE,Bradley - PERSON
Scotch - GPE,Wilson - ORG
Scotch - GPE,the previous night - TIME
Scotch - GPE,twenty-four hours - TIME
Scotch - GPE,Bradley - PERSON
Scotch - GPE,Bradley - PERSON
Scotch - GPE,Benson - PERSON
Scotch - GPE,Bradley - PERSON
Scotch - GPE,the days - DATE
Scotch - GPE,Benson - PERSON
Scotch - GPE,Englishmen - PRODUCT
Scotch - GPE,Balmen - GPE
Scotch - GPE,Bradley - ORG
Scotch - GPE,the U-33 - PRODUCT
Scotch - GPE,only nine - CARDINAL
Scotch - GPE,eight - CARDINAL
Scotch - GPE,Germans - NORP
Scotch - GPE,Bradley - PERSON
Scotch - GPE,Olson - PERSON
Scotch - GPE,Irish - NORP
Scotch - GPE,Olson - PERSON
Scotch - GPE,Irish - NORP
Scotch - GPE,Bradley - PERSON
V. C.'s - PERSON,English - LANGUAGE
V. C.'s - PERSON,Bradley - PERSON
V. C.'s - PERSON,English - LANGUAGE
V. C.'s - PERSON,Bradley - PERSON
Baron von Schoenvorts - PERSON,first - ORDINAL
Baron von Schoenvorts - PERSON,the U-33 - PRODUCT
Friedrich von Schoenvorts - PERSON,eight - CARDINAL
Friedrich von Schoenvorts - PERSON,Germans - NORP
Jack - PERSON,Bradley - PERSON
Jack - PERSON,one - CARDINAL
Jack - PERSON,German - NORP
Jack - PERSON,Bradley - PERSON
Jack - PERSON,Bradley - PERSON
Jack - PERSON,one - CARDINAL
Jack - PERSON,Bradley - PERSON
Jack - PERSON,one - CARDINAL
Jack - PERSON,German - NORP
Half - CARDINAL,
British - NORP,Olson - PERSON
British - NORP,one - CARDINAL
British - NORP,Balmen - GPE
British - NORP,Georgetown - ORG
British - NORP,Guiana - PERSON
British - NORP,Olson - PERSON
British - NORP,one - CARDINAL
three months ago - DATE,
half an hour - TIME,the Royal Navy - ORG
the Royal Navy - ORG,half an hour - TIME
About one - CARDINAL,
Union Jack - PERSON,
forty feet - QUANTITY,
two days - DATE,Channel - ORG
two days - DATE,Channel - ORG
Kiel - PERSON,one - CARDINAL
Kiel - PERSON,one - CARDINAL
Lys - PERSON,Nobs - ORG
Lys - PERSON,von Schoenvorts - PERSON
Lys - PERSON,Nobs - ORG
Lys - PERSON,two - CARDINAL
third - ORDINAL,first - ORDINAL
third - ORDINAL,two - CARDINAL
Diesel - ORG,One - CARDINAL
a minute - TIME,
noon - TIME,
another two days - DATE,half - CARDINAL
Wilson - ORG,Bradley - PERSON
Wilson - ORG,Olson - PERSON
Wilson - ORG,the previous night - TIME
Wilson - ORG,Benson - PERSON
Wilson - ORG,two nights - DATE
tonight - TIME,
Benson - PERSON,Wilson - ORG
Benson - PERSON,two nights - DATE
Benson - PERSON,Bradley - PERSON
Benson - PERSON,Olson - PERSON
Benson - PERSON,Bradley - PERSON
Benson - PERSON,the days - DATE
Benson - PERSON,Olson - PERSON
Benson - PERSON,first - ORDINAL
Benson - PERSON,two - CARDINAL
Benson - PERSON,Englishmen - PRODUCT
Benson - PERSON,the Stupid Germans - LAW
four - CARDINAL,two - CARDINAL
the past night - TIME,
von Schoenvorts - PERSON,Lys - PERSON
von Schoenvorts - PERSON,A half-hour - TIME
the previous night - TIME,Bradley - PERSON
the previous night - TIME,Olson - PERSON
the previous night - TIME,Wilson - ORG
Von Schoenvorts - PERSON,Bradley - PERSON
Von Schoenvorts - PERSON,first - ORDINAL
some night - TIME,
daytime - TIME,
two nights - DATE,Benson - PERSON
two nights - DATE,Wilson - ORG
the night before - TIME,
last night - TIME,
All night - TIME,
Take von Schoenvorts - WORK_OF_ART,
twenty-four hours - TIME,Olson - PERSON
twenty-four hours - TIME,Bradley - PERSON
R.N. - ORG,
over two years - DATE,
twelve hours - TIME,
the fourth day - DATE,
four days - DATE,
six more days - DATE,
the season - DATE,
the middle of June - DATE,
California - GPE,
the year - DATE,
U-33 - PRODUCT,one - CARDINAL
U-33 - PRODUCT,German - NORP
North American - NORP,one - CARDINAL
North American - NORP,German - NORP
six days - DATE,
Atlantic - LOC,American - NORP
the seventh day - DATE,
five hundred - CARDINAL,
about 20 - CARDINAL,
30 - CARDINAL,15 years - DATE
nearly twenty-five hundred miles - CARDINAL,
the days - DATE,Bradley - PERSON
the days - DATE,Benson - PERSON
the days - DATE,Olson - PERSON
the days - DATE,Bradley - PERSON
several hours - TIME,
the Balmen of Halmstad - ORG,
Sweden - GPE,
Brazil - GPE,
Spain - GPE,
Swede - NORP,Six - CARDINAL
Swede - NORP,one - CARDINAL
Englishmen - PRODUCT,Olson - PERSON
Englishmen - PRODUCT,first - ORDINAL
Englishmen - PRODUCT,Benson - PERSON
Englishmen - PRODUCT,two - CARDINAL
Balmen - GPE,Olson - PERSON
Balmen - GPE,British - NORP
Balmen - GPE,1 - CARDINAL
Balmen - GPE,"July, 1916 - DATE"
Balmen - GPE,Swedish - NORP
Balmen - GPE,Rio de Janiero - ORG
Balmen - GPE,Barcelona - GPE
Balmen - GPE,German - NORP
Balmen - GPE,June - DATE
Balmen - GPE,Baron von Schoenvorts - PERSON
Balmen - GPE,first - ORDINAL
Bradley - ORG,Olson - PERSON
Bradley - ORG,British - NORP
Bradley - ORG,1 - CARDINAL
Bradley - ORG,"July, 1916 - DATE"
Bradley - ORG,Swedish - NORP
Bradley - ORG,Rio de Janiero - ORG
Bradley - ORG,Barcelona - GPE
Bradley - ORG,German - NORP
Bradley - ORG,June - DATE
Bradley - ORG,Baron von Schoenvorts - PERSON
Bradley - ORG,first - ORDINAL
the U-33 - PRODUCT,Olson - PERSON
the U-33 - PRODUCT,British - NORP
the U-33 - PRODUCT,1 - CARDINAL
the U-33 - PRODUCT,"July, 1916 - DATE"
the U-33 - PRODUCT,Swedish - NORP
the U-33 - PRODUCT,Rio de Janiero - ORG
the U-33 - PRODUCT,Barcelona - GPE
the U-33 - PRODUCT,German - NORP
the U-33 - PRODUCT,June - DATE
the U-33 - PRODUCT,Baron von Schoenvorts - PERSON
the U-33 - PRODUCT,first - ORDINAL
1 - CARDINAL,Balmen - GPE
1 - CARDINAL,German - NORP
"July, 1916 - DATE",Balmen - GPE
"July, 1916 - DATE",German - NORP
Swedish - NORP,Balmen - GPE
Swedish - NORP,German - NORP
Rio de Janiero - ORG,Balmen - GPE
Rio de Janiero - ORG,German - NORP
Barcelona - GPE,Balmen - GPE
Barcelona - GPE,German - NORP
June - DATE,Balmen - GPE
June - DATE,German - NORP
the Cape Verde Islands - LOC,
Georgetown - ORG,British - NORP
Guiana - PERSON,British - NORP
Six - CARDINAL,Swede - NORP
Six - CARDINAL,one - CARDINAL
the next morning - TIME,
the Stupid Germans - LAW,Benson - PERSON
the Stupid Germans - LAW,Benson - PERSON
one day - DATE,
Horn - LOC,
the Pacific coast - LOC,
North America - LOC,
The very first day - DATE,
the South Pacific - LOC,
About eight - CARDINAL,
About a hundred yards - CARDINAL,German - NORP
Irishman - NORP,
Bradley - GPE,German - NORP
Englishman - PERSON,
only nine - CARDINAL,Olson - PERSON
only nine - CARDINAL,eight - CARDINAL
only nine - CARDINAL,Germans - NORP
only nine - CARDINAL,Bradley - PERSON
Only two - CARDINAL,half - CARDINAL
Baron - PERSON,
A half-hour - TIME,von Schoenvorts - PERSON
San Diego - GPE,
Metcalf - PERSON,46 million - CARDINAL
Metcalf - PERSON,46 million - CARDINAL
Metcalf - PERSON,Americans - NORP
Metcalf - PERSON,46 million - CARDINAL
Metcalf - PERSON,Americans - NORP
Metcalf - PERSON,today - DATE
Metcalf - PERSON,24 years old - DATE
Metcalf - PERSON,two - CARDINAL
Metcalf - PERSON,two - CARDINAL
Metcalf - PERSON,Bath - GPE
Metcalf - PERSON,two - CARDINAL
Metcalf - PERSON,Bath - GPE
Metcalf - PERSON,New York - GPE
Metcalf - PERSON,two years ago - DATE
Metcalf - PERSON,26 - CARDINAL
Metcalf - PERSON,first - ORDINAL
Metcalf - PERSON,15 - DATE
Metcalf - PERSON,Marian Rezelman - PERSON
Metcalf - PERSON,Pro Action - PERSON
Metcalf - PERSON,the middle of the night - DATE
Metcalf - PERSON,thousands - CARDINAL
Metcalf - PERSON,tens of thousands of dollars - CARDINAL
Metcalf - PERSON,almost 50 years ago - DATE
Metcalf - PERSON,almost 50 years ago - DATE
Metcalf - PERSON,Lyndon Johnson - PERSON
Metcalf - PERSON,One - CARDINAL
Metcalf - PERSON,One - CARDINAL
Metcalf - PERSON,"3,000 - MONEY"
Metcalf - PERSON,Rezelman - PRODUCT
Metcalf - PERSON,Rezelman - PRODUCT
Metcalf - PERSON,Medicaid - ORG
Metcalf - PERSON,Kathryn Muller - PERSON
Metcalf - PERSON,Steuben County - GPE
46 million - CARDINAL,Metcalf - PERSON
46 million - CARDINAL,Metcalf - PERSON
46 million - CARDINAL,Americans - NORP
46 million - CARDINAL,Metcalf - PERSON
46 million - CARDINAL,Americans - NORP
46 million - CARDINAL,today - DATE
today - DATE,Metcalf - PERSON
today - DATE,46 million - CARDINAL
today - DATE,Americans - NORP
24 years old - DATE,Metcalf - PERSON
4 - DATE,three - CARDINAL
4 - DATE,three - CARDINAL
4 - DATE,2 - CARDINAL
2 - CARDINAL,three - CARDINAL
2 - CARDINAL,4 - DATE
Bath - GPE,Metcalf - PERSON
Bath - GPE,two - CARDINAL
Bath - GPE,Metcalf - PERSON
Bath - GPE,two - CARDINAL
Bath - GPE,New York - GPE
New York - GPE,Metcalf - PERSON
New York - GPE,two - CARDINAL
New York - GPE,Bath - GPE
